Offset (s),Duration (s),Recognized Text
0.0,3.6,The small pup gnawed a hole in the sock
3.6,3.6,The fish twisted and turned on the bent hook
7.2,4.0,Press the pants and sew a button on the vest
11.2,3.2,The swan dive was far short of perfect
14.4,3.6,The beauty of the view stunned the young boy
18.0,2.8,2 blue fish swam in the tank
20.8,2.8,Her purse was full of useless trash
23.6,2.8,The colt reared and threw the toll.
26.4,1.6,"Hello, hello, hello, hello."
28.0,2.8,Hoist the load to your left shoulder
30.8,3.2,Take the winding path to reach the lake
34.0,3.2,Note closely the size of the gas tank
37.2,2.8,Wipe the grease off his dirty face
40.0,2.8,Mend the coat before you go out
42.8,3.2,The wrist was badly strained and hung limp
46.0,2.8,The stray cat gave birth to kittens
48.8,2.0,The young girl gave no.
