filename,language,transcript
en_commentary_01.wav,en,The Birch canoe slid on the smooth planks.
en_commentary_02.wav,en,The boy was there when the sun rose.
en_commentary_03.wav,en,The small pup gnawed a hole in the sack.
en_commentary_04.wav,en,Hoist the load to your left shoulder.
en_commentary_05.wav,en,A king ruled the state in the early days.
hi_commentary_01.wav,hi,केशव के घर में चार खिड़कियां हैं।
hi_commentary_02.wav,hi,नीलाक्षी कक्षा में फिर प्रथम हुई।
hi_commentary_03.wav,hi,शालिनी के पास ₹100 है।
hi_commentary_04.wav,hi,इस तपती धूप में तुम घर से बाहर मत निकलो।
hi_commentary_05.wav,hi,जंगल में कुछ छोटे और कुछ मोटे जानवर नजर आते हैं।
