Column1,Column2,Column3
filename,language,transcript
en_commentary_01.wav,en,The Birch canoe slid on the smooth planks.
en_commentary_02.wav,en,The boy was there when the sun rose.
en_commentary_03.wav,en,The small pup gnawed a hole in the sack.
en_commentary_04.wav,en,Hoist the load to your left shoulder.
en_commentary_05.wav,en,A king ruled the state in the early days.
hi_commentary_01.wav,hi,???? ?? ?? ??? ??? ????????? ????
hi_commentary_02.wav,hi,???????? ????? ??? ??? ????? ????
hi_commentary_03.wav,hi,?????? ?? ??? ?100 ???
hi_commentary_04.wav,hi,?? ???? ??? ??? ??? ?? ?? ???? ?? ?????? ?????? ??????????? ??? ???? ??? ????? ?? ????? ????? ?? ????
hi_commentary_05.wav,hi,???? ??? ??? ???? ?? ??? ???? ????? ??? ??? ????
