filename,language,transcript
da0ce531-c855-4695-801c-a9225b7db282_en_commentary_03.wav,en-US,The small pup gnawed a hole in the sock. The fish twisted and turned on the bent hook. Press the pants and sew a button on the vest. The swan dive was far short of perfect. The beauty of the view stunned the young boy. 2 blue fish swam in the tank. Her purse was full of useless trash. The colt reared and threw the toll.
28c5e9f9-24b6-45c7-b501-10a6ffe34b2d_recording-1762276799353.wav,en-US,"Hello, hello, hello, hello."
46f34486-abac-460d-b846-fb26ae2a0945_en_commentary_04.wav,en-US,Hoist the load to your left shoulder. Take the winding path to reach the lake. Note closely the size of the gas tank. Wipe the grease off his dirty face. Mend the coat before you go out. The wrist was badly strained and hung limp. The stray cat gave birth to kittens. The young girl gave no.
b231faf2-16c3-4513-84d3-1faad0f188c9_hi_commentary_02.wav,en-US,Neelakshi kaksha Mai per pratham Hui. Neelakshi kakshame perfatham Hui. Raja Hari Singh may apne puthru or putriya Ki kushalta kheliye Ek bahut Bara yagi Raja. Occasionally sankshe Mein apri yatra ka varnankiya. Tumhare putra ugly Kashmir bethe huehen. Tumhare chatruko tumhari kamzori kagya nahi hona chahiye. Sabhyata Ki Pragathi Ki.
0e074d80-150a-49ad-94d4-984c3aa2d855_hi_commentary_01.wav,en-US,Keshav ke khar Mein chaar khidkiya hai. Kellogg Kumar ko pasan karte Hain. Tumhare kharkosh karang safed hai. Aapki Gai Kal saya hai. Kalka Khanna sulekha ghee dhalkar banayi. Akshay Kikher. Garam Hogay. Many Kal Huawei ekhub Surat gadi dekhi. Yeh hai barson kar raghu hushis baghel.
b3583e92-ad3e-4cb7-907a-9e1a3cd0b0af_hi_commentary_04.wav,en-US,Is tapti dhoop Mein tum kharse bahar mat miklo? Arjun Pati Yogita may subsidized Dora or Pratham Stan Paraya. Hardewali parham hawan karke devtaun ka dhanevaad karte Hain. Hamare dadaji Bahodhani or Takatwarthe? Radha koi Kam adhura nahi choti thi. Is Biba ke piche do dukane hai jinko doke say pahat naksan Hua? Guardi.
66329520-ff63-4c49-bbdb-35f7194158ab_hi_commentary_04.wav,en-US,Error: transcribe_audio_file() takes 1 positional argument but 2 were given
001069f9-b255-4498-b88d-848e1516dd0c_hi_commentary_03.wav,en-US,Error: transcribe_audio_file() takes 1 positional argument but 2 were given
eeaf303c-2192-4a52-980c-2d5c53a48b87_hi_commentary_02.wav,en-US,Error: name 'transcribe_audio_file' is not defined
2f5d4d28-f4d7-4862-a61b-32a4b017b445_hi_commentary_03.wav,en-US,Error: transcribe_audio() takes 1 positional argument but 2 were given
