filename,language,transcript
en_commentary_01.wav,en,"The Birch canoe slid on the smooth planks. Glue the sheet to the dark blue background. It's easy to tell the depth of a well. These days, a chicken leg is a radish. Rice is often served in round bowls. The juice of lemons makes fine punch. The box was thrown beside the parked truck. The hogs were fed."
en_commentary_02.wav,en,The boy was there when the sun rose. A rod is used to catch pink salmon. The source of the huge river is the clear spring. Kick the ball straight and follow through. Help the woman back to her feet. A pot of tea helps to pass the evening. Smoky fires lack flame and heat. The soft cushion broke the man's father.
en_commentary_03.wav,en,The small pup gnawed a hole in the sock. The fish twisted and turned on the bent hook. Press the pants and sew a button on the vest. The swan dive was far short of perfect. The beauty of the view stunned the young boy. 2 blue fish swam in the tank. Her purse was full of useless trash. The colt reared and threw the toll.
en_commentary_04.wav,en,Hoist the load to your left shoulder. Take the winding path to reach the lake. Note closely the size of the gas tank. Wipe the grease off his dirty face. Mend the coat before you go out. The wrist was badly strained and hung limp. The stray cat gave birth to kittens. The young girl gave no.
en_commentary_05.wav,en,A king ruled the state in the early days. The ship was torn apart on the Sharp Reef. Sickness kept him home the third week. The wide Rd. shimmered in the hot sun. The lazy cow lay in the cool grass. Lift the square stone over the fence. The rope will bind the seven books at once.
hi_commentary_01.wav,hi,केशव के घर में चार खिड़कियां हैं। कई लोग कुमार को पसंद करते हैं। तुम्हारे खरगोश का रंग सफेद है। आपकी गाय कल से यहाँ है। कल का खाना सुलेखा घी ढाल कर बनाएगी। अक्षय की खीर गर्म हो गई। मैंने कल ख्वाब में एक खूबसूरत गाड़ी देखी। ये खबर सुनकर रघु खुशी से पागल हो।
hi_commentary_02.wav,hi,नीलाक्षी कक्षा में फिर प्रथम हुई। नीलाक्षी कक्षा में फिर प्रथम हुई। राजा हरि सिंह ने अपने पुत्रों और पुत्रियों की कुशलता के लिए एक बहुत बड़ा यज्ञ रचा। राकेश ने संक्षेप में अपनी यात्रा का वर्णन किया। तुम्हारे पुत्र अगले कक्ष में बैठे हुए हैं। तुम्हारे शत्रु को तुम्हारी कमजोरी का ज्ञान नहीं होना चाहिए। सभ्यता की प्रगति के।
hi_commentary_03.wav,hi,"शालिनी के पास ₹100 है। सीता और सुनील का लड़का बहुत होशियार है। तुम्हारी कविता लिखने का शौक कब से शुरू हुआ? सोते हुए शेर को जगाना उचित नहीं है। शोर मत करो, नहीं तो सुहासिनी जाग जाएगी। काम शुरू होने से पहले हिम्मत मत हारो। हेमंत, शैलेश और शिखा का ही लड़का है। केशव का व्यवहार।"
hi_commentary_04.wav,hi,"इस तपती धूप में तुम घर से बाहर मत निकलो। अर्जुन प्रतियोगिता में सबसे तेज दौड़ा और प्रथम स्थान पर आया। हर दिवाली पर हम हवन करके देवताओं का धन्यवाद करते हैं। हमारे दादाजी बहुत धनी और ताकतवर थे। राधा कोई काम अधूरा नहीं छोड़ती थी। इस विवाद के पीछे दो दुकानें हैं, जिनको धोखे से बहुत नुकसान हुआ। गाड़ी।"
hi_commentary_05.wav,hi,जंगल में कुछ छोटे और कुछ मोटे जानवर नजर आते हैं। आज चाय की पत्नी मंजू के झोले में है। चैतन्य के घर में बहुत सारे चूहे हैं। मुझे ऐश्वर्या की सोच बहुत लंबी नजर आती है। एक छल छबीला लड़का जॉन की ओर चीखता हुआ आया। अर्जुन ने अपने अध्यापक को सर झुका के प्रणाम किया।
