Column1,Column2,Column3
filename,language,transcript
en_commentary_01.wav,en,"The Birch canoe slid on the smooth planks. Glue the sheet to the dark blue background. It's easy to tell the depth of a well. These days, a chicken leg is a radish. Rice is often served in round bowls. The juice of lemons makes fine punch. The box was thrown beside the parked truck. The hogs were fed."
en_commentary_02.wav,en,The boy was there when the sun rose. A rod is used to catch pink salmon. The source of the huge river is the clear spring. Kick the ball straight and follow through. Help the woman back to her feet. A pot of tea helps to pass the evening. Smoky fires lack flame and heat. The soft cushion broke the man's father.
en_commentary_03.wav,en,The small pup gnawed a hole in the sock. The fish twisted and turned on the bent hook. Press the pants and sew a button on the vest. The swan dive was far short of perfect. The beauty of the view stunned the young boy. 2 blue fish swam in the tank. Her purse was full of useless trash. The colt reared and threw the toll.
en_commentary_04.wav,en,Hoist the load to your left shoulder. Take the winding path to reach the lake. Note closely the size of the gas tank. Wipe the grease off his dirty face. Mend the coat before you go out. The wrist was badly strained and hung limp. The stray cat gave birth to kittens. The young girl gave no.
en_commentary_05.wav,en,A king ruled the state in the early days. The ship was torn apart on the Sharp Reef. Sickness kept him home the third week. The wide Rd. shimmered in the hot sun. The lazy cow lay in the cool grass. Lift the square stone over the fence. The rope will bind the seven books at once.
hi_commentary_01.wav,hi,???? ?? ?? ??? ??? ????????? ???? ?? ??? ????? ?? ???? ???? ???? ???????? ????? ?? ??? ???? ??? ???? ??? ?? ?? ???? ??? ?? ?? ???? ?????? ?? ??? ?? ??????? ????? ?? ??? ???? ?? ??? ????? ?? ????? ??? ?? ??????? ????? ????? ?? ??? ????? ??? ???? ?? ???? ???
hi_commentary_02.wav,hi,???????? ????? ??? ??? ????? ???? ???????? ????? ??? ??? ????? ???? ???? ??? ???? ?? ???? ??????? ?? ????????? ?? ?????? ?? ??? ?? ???? ???? ???? ???? ????? ?? ??????? ??? ???? ?????? ?? ????? ????? ???????? ????? ???? ???? ??? ???? ??? ???? ???????? ????? ?? ???????? ?????? ?? ????? ???? ???? ?????? ?????? ?? ?????? ???
hi_commentary_03.wav,hi,"?????? ?? ??? ?100 ??? ???? ?? ????? ?? ????? ???? ??????? ??? ???????? ????? ????? ?? ??? ?? ?? ???? ???? ???? ??? ??? ?? ????? ???? ???? ??? ??? ?? ???, ???? ?? ???????? ??? ?????? ??? ???? ???? ?? ???? ?????? ?? ????? ?????, ????? ?? ???? ?? ?? ????? ??? ???? ?? ????????"
hi_commentary_04.wav,hi,"?? ???? ??? ??? ??? ?? ?? ???? ?? ?????? ?????? ??????????? ??? ???? ??? ????? ?? ????? ????? ?? ???? ?? ?????? ?? ?? ??? ???? ??????? ?? ??????? ???? ???? ????? ?????? ???? ??? ?? ?????? ??? ???? ??? ??? ????? ???? ?????? ??? ?? ????? ?? ???? ?? ??????? ???, ????? ???? ?? ???? ?????? ???? ??????"
hi_commentary_05.wav,hi,???? ??? ??? ???? ?? ??? ???? ????? ??? ??? ???? ?? ??? ?? ????? ???? ?? ???? ??? ??? ?????? ?? ?? ??? ???? ???? ???? ???? ???? ???????? ?? ??? ???? ???? ??? ??? ??? ?? ?? ????? ????? ??? ?? ?? ????? ??? ???? ?????? ?? ???? ??????? ?? ?? ???? ?? ?????? ?????
